,0,pi/16,2pi/16,3pi/16,4pi/16,5pi/16,6pi/16,7pi/16,8pi/16,9pi/16,10pi/16,11pi/16,12pi/16,13pi/16,14pi/16,15pi/16,16pi/16
0,0.5766131988290694,0.08103024461720512,0.2251422865621185,0.08351760588943269,0.0009677806644626596,8.839081340508446e-05,1.1336741034228383e-05,3.6968023397030473e-07,1.610704914237978e-08,1.5409013306918153e-08,5.819001056390453e-08,1.3904980619444664e-08,9.536937237711726e-09,4.055600767092443e-09,2.6886687844541595e-09,1.3921230549360786e-08,1.631265062401563e-09
pi/16,0.22882681045135386,0.12191235751235711,0.4100696552791794,0.11820053223679058,0.0037214643120954947,0.0009884207708627016,9.101567553982992e-05,6.436666949171417e-08,8.669084586968521e-08,2.725975515621808e-08,5.563254081187218e-08,3.662798453098291e-06,1.0090274305740372e-08,2.1884074062117433e-09,1.4524555343334224e-08,1.0791974188916399e-08,1.4325346698989369e-09
2pi/16,0.2768892679142273,0.16709744043542601,0.6381362873498425,0.4154394195379397,0.06593400734203773,0.01731844240175306,0.004730955070645248,1.5562430817964668e-05,9.925403916300377e-06,1.6787159474475682e-06,1.6083993878434667e-06,3.9104084878945005e-06,2.8721294214536687e-08,3.8464839656449084e-10,8.132118393813544e-09,5.51454961431764e-09,6.426306026825194e-08
3pi/16,0.013741614748177658,0.08081193134542569,0.22794867138102576,0.3362512629340473,0.15581534287633725,0.2712916210333895,0.012526770545371439,0.0003901507936446061,6.8274220878757756e-06,1.6355545071875014e-06,4.064131945872789e-06,1.8164995734512578e-06,4.93352248500759e-10,1.514325568105068e-07,9.311591224171482e-07,7.547626699941339e-09,2.2472424818067515e-09
4pi/16,0.016800360153662975,0.03928749876982313,0.09729049323863434,0.21746353312020772,0.39373146313668245,0.3552983972176501,0.24054854499337552,0.004637257268484102,0.00044241235901728594,0.0006034169886425021,1.4901027591527003e-05,8.116006452822893e-06,9.605653661298028e-08,2.4124984181001667e-08,1.4588497928579957e-08,1.1914939180205804e-08,8.228568972317048e-09
5pi/16,1.7045997752018874e-05,0.030831463255807146,0.006665033147651235,0.19187152926684578,0.2703776279852935,0.3921769284115192,0.3443914752609015,0.025691047920296094,0.001319440145916792,0.009483786201573603,0.00010525976128272793,6.197789957441906e-05,1.8141470460917106e-07,1.484830307996936e-07,1.4531722221994201e-08,1.1850270714553547e-08,4.346271865570123e-08
6pi/16,4.989228808530348e-05,0.01148731701527619,0.00015944555573805494,0.0020884105712534098,0.3484436169130247,0.11036225366481915,0.41883136533582366,0.36582455822309307,0.129642092825379,0.03471186751348144,7.06971833136022e-05,1.9932178591046314e-05,1.238817419555597e-06,4.14669338320647e-08,8.840951668045526e-09,5.316223527190768e-09,1.0784835567215005e-08
7pi/16,8.950010500832952e-09,0.002421770412367193,1.2581100655454739e-05,0.007752361876114784,0.04666298718177902,0.0668232656763785,0.3224099583520494,0.5100159462832782,0.5289656096856742,0.20802859049782327,0.0007163219313108038,0.00438220882044355,0.00029010808477955124,4.177217437070105e-05,4.12506118603131e-06,3.9443124187413416e-08,1.0732174891946888e-08
8pi/16,2.4395982635609993e-07,3.7475900550414496e-05,2.353237818568867e-06,0.00010071141248630181,0.0008558578083378484,0.0058786217092637524,0.07594485400876402,0.4293659243439837,0.7284602223539876,0.21117799920653826,0.12199358857857148,0.013562029066652354,0.00074089681386393,3.759073029094618e-05,9.175479978635433e-06,2.3298913013605146e-07,2.7147131400421174e-08
9pi/16,2.7069615369720815e-09,0.00011766087525660349,1.615058283975527e-07,1.3901786451087632e-07,0.002314140961134251,0.00010831994063143702,0.0016109920828491023,0.4605558430030623,0.15475547960655367,0.29406004588313134,0.3172686275409097,0.2156374158280867,0.0041404328060373205,0.0005332349186016241,0.0001437821816416383,2.9520003983061785e-07,5.163573710947892e-08
10pi/16,3.963094034228535e-12,1.3120690055509742e-05,5.94690419135999e-07,4.344002114356721e-09,1.2956989356461217e-05,3.848882127886727e-05,9.473545149370235e-05,0.17478740990750788,0.02176995492867677,0.12128490859339554,0.41825148324014416,0.5774520516769173,0.1343043783912921,0.005526919689719491,0.0016755301483794705,1.1110685551382529e-05,6.960941232277982e-07
11pi/16,4.4689122905953953e-10,7.86799387617308e-07,1.8697774294390757e-09,2.778611062377344e-09,4.980946131334581e-06,5.9290323924139136e-05,5.989352580361455e-07,0.013282489250044743,0.0017377288601148886,0.042044869136771225,0.7702516386697933,0.8397060874548092,0.5454693578524099,0.14110831930583673,0.01601504272161931,9.051970098572696e-05,7.108642343831156e-06
12pi/16,1.467060373987981e-11,5.21263823103688e-06,3.5018357795969085e-09,7.522404494422302e-09,3.749953634037518e-08,3.916489194389359e-07,3.79342745312182e-09,0.00027042007827853643,0.0019493027605404837,0.001152298011616985,0.3469969049647326,0.4388317937987439,0.5649003794138698,0.37259619861239746,0.13337804949068194,0.005109172703274526,0.00013452980595535086
13pi/16,1.335227171465741e-12,2.241353098998183e-06,2.8007462746802305e-09,7.177662517114346e-11,1.4053581680920037e-06,3.7276823194131757e-06,8.872668758121518e-09,8.68688338265186e-05,4.9812092599643905e-05,2.4340963513111653e-05,0.019933518531189694,0.06944491384353543,0.5027568586948903,0.7025779507060068,0.39264083057113447,0.05677483756189505,0.004318866960433403
14pi/16,1.6110195096527408e-12,1.799110498559633e-07,1.2041862592416806e-11,1.0878452534809715e-10,8.37696170642031e-10,7.992591795853431e-10,2.4425332139811174e-08,2.827211762445423e-07,8.533300930290816e-07,1.0686681354346376e-05,0.0021829222435632767,0.003065146290114296,0.11852545895334572,0.5356240418006728,0.5263698632912752,0.48775522498218765,0.08760554899919495
15pi/16,3.173666310521042e-12,1.2134046027553828e-07,1.8969017047713784e-12,1.9416384726564475e-10,7.280305560175556e-08,9.425336236428625e-09,6.995742376734143e-10,5.8087556911485644e-08,1.0612547590473485e-06,1.8452941819616227e-07,9.704673577453813e-05,0.00014349771850971827,0.005201023461180181,0.049487176486596576,0.4911694301510199,0.45289829781330615,0.5701211059324314
16pi/16,2.0628659805383178e-09,7.247959385806042e-08,1.3200321483779511e-10,7.612257568731754e-10,8.043728274948396e-08,1.8747500327075386e-09,2.435457731823142e-08,2.6831279381252584e-08,3.074556839588431e-07,3.085455521507085e-08,2.074608058253481e-06,1.177155662663736e-05,0.00023582987279062846,0.008467079731754418,0.09201744287855808,0.5667345607522039,0.7612652382324806
