DUNE LS220-27.0;True NH;True IH;Fit_1 NH;Fit_2 NH;Fit_3 NH;Fit_4 NH;Fit_5 NH;Fit_1 IH;Fit_2 IH;Fit_3 IH;Fit_4 IH;Fit_5 IH
Alpha_best;1.778;1.748;1.42;1.65;;;;1.52;1.67;1.41;1.62;
Alpha_std;0.002;0.003;0.17;0.13;;;;0.14;0.19;0.18;0.10;
E_mean_best;12.667;12.626;11.92;12.33;;;;12.11;12.47;11.71;12.24;
E_mean_std;0.006;0.006;0.47;0.35;;;;0.38;0.49;0.49;0.27;
Distance normal;10;10;9.6;;;;;9.4;10.9;9.7;10.3;
Distance IQR normal;;;[8.9, 10.2];;;;;[8.7, 10.1];[10.0. 11.7];[9.0, 10.5];[9.5, 11.0];
Distance 95 CI normal;;;[7.4, 11.5];;;;;[7.3, 11.4];[8.4, 13.3];[7.4, 12.0];[8.0, 12.3];
Distance uniform;10;10;10.5;;;;;10.3;11.9;10.6;11.2;
Distance IQR uniform;;;[8.5, 12.1];;;;;[8.4, 11.9];[9.7, 13.8];[8.7, 12.3];[9.2, 13];
Distance 95 CI uniform;;;[6.3, 13.7];;;;;[6.2, 13.6];[7.2, 15.9];[6.4, 14.3];[6.8, 14.6];
Multiplication factor;0.346;0.29;;;;;;;;;;
DUNE LS220-11.2;;;;;;;;;;;;
Alpha_best;1.754;;1.38;1.74;;;;;;;;
Alpha_std;0.003;;0.20;0.16;;;;;;;;
E_mean_best;11.651;;10.73;11.64;;;;;;;;
E_mean_std;0.008;;0.53;0.37;;;;;;;;
Distance normal;10;;10.2;10.2;;;;;;;;
Distance IQR normal;;;[9.4, 11.1];[9.1, 11.2];;;;;;;;
Distance 95 CI normal;;;[7.7, 12.8];[6.5, 13.1];;;;;;;;
Distance uniform;10;;11.2;14.2;;;;;;;;
Distance IQR uniform;;;[9.1, 13.0];[11.2, 15.8];;;;;;;;
Distance 95 CI uniform;;;[6.7, 15.2];[8.3, 18.0];;;;;;;;
Multiplication factor;0.35 â€“ 0.38;;;;;;;;;;;
